tld,link,name,email,form,api,notes,found,as_of
.zappos,http://www.nic.zappos/,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.moi,http://www.nic.moi,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.song,http://www.nic.song,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.spot,http://www.nic.spot,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.tunes,http://www.nic.tunes,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
xn--eckvdtc9d,http://www.nic.xn--eckvdtc9d,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.yamaxun,http://www.nic.yamaxun,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.amazon,http://www.nic.amazon,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.buy,http://www.nic.buy/,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.author,http://www.nic.author/,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.book,http://www.nic.book,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.bot,http://www.nic.bot,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.call,http://www.nic.call/,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.circle,http://www.nic.circle/,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.fast,http://www.nic.fast,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.got,http://www.nic.got/,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.jot,http://www.nic.jot/,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.joy,http://www.nic.joy/,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.like,http://www.nic.like,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.pin,http://www.nic.pin,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.read,http://www.nic.read,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.room,http://www.nic.room/,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.safe,http://www.nic.safe,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.smile,http://www.nic.smile,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.tushu,http://www.nic.tushu,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.wanggou,http://www.nic.wanggou,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.aaa,http://www.aaa.com,"American Automobile Association, Inc.",,https://domainabuse.registry.godaddy/s/,,,TRUE,2025-07-17
.bible,http://nic.bible,American Bible Society,info@nic.bible,,,,TRUE,2025-07-17
.lifeinsurance,http://www.acli.com,American Council of Life Insurers,WebAdmin@acli.com,,,,TRUE,2025-07-17
.americanexpress,http://americanexpress.com,"American Express Travel Related Services Company, Inc.",,,,Unable to locate,FALSE,2025-07-17
.amex,http://americanexpress.com,"American Express Travel Related Services Company, Inc.",,,,Unable to locate,FALSE,2025-07-17
.open,http://americanexpress.com,"American Express Travel Related Services Company, Inc.",,,,Unable to locate,FALSE,2025-07-17
.cpa,http://www.aicpa.org,American Institute of Certified Public Accountants,domain.abuse@hq.cpa.com,,,,TRUE,2025-07-17
.aig,http://www.nic.aig,"American International Group, Inc.",DMSGovernance@aig.com,,,,TRUE,2025-07-17
.americanfamily,http://nic.americanfamily,"AmFam, Inc.",,,,Unable to locate,FALSE,2025-07-17
.amfam,http://nic.amfam,"AmFam, Inc.",,,,Unable to locate,FALSE,2025-07-17
.amica,www.amica.com,Amica Mutual Insurance Company,,,,Unable to locate,FALSE,2025-07-17
.aol,http://corp.aol.com,AOL Inc.,ngtld-abuse@cscinfo.com,,,,TRUE,2025-07-17
.apple,http://www.apple.com,Apple Inc.,atld@apple.com,,,,TRUE,2025-07-17
.aquarelle,http://www.aquarelle.com,Aquarelle.com,,,,Unable to locate,FALSE,2025-07-17
.aramco,http://www.aramcoservices.com,Aramco Services Company,coleman.works@aramcoservices.com,,,,TRUE,2025-07-17
xn--mgba3a3ejt,http://www.aramcoservices.com,Aramco Services Company,coleman.works@aramcoservices.com,,,,TRUE,2025-07-17
.arte,http://nic.arte,ARTE,ngtld-abuse@cscinfo.com,,,,TRUE,2025-07-17
.cloud,https://get.cloud,Aruba PEC S.p.A.,abuse@get.cloud,https://www.get.cloud/report-abuse,,,TRUE,2025-07-17
.asda,https://asda.co.uk/,Asda Stores Limited,ngtld-abuse@cscinfo.com,,,,TRUE,2025-07-17
.spa,https://www.dotspa.xyz,Asia Spa and Wellness Promotion Council Limited,,,,Unable to locate,FALSE,2025-07-17
.gal,http://dominio.gal,Asociación puntoGAL,abuso@dominio.gal,,,,TRUE,2025-07-17
.bzh,https://www.pik.bzh/,Association www.bzh,,https://www.pik.bzh/nous-contacter/#ancre1,,,TRUE,2025-07-17
.audi,http://www.audi.de,AUDI Aktiengesellschaft,,,,Unable to locate,FALSE,2025-07-17
.anz,http://www.anz.com,Australia and New Zealand Banking Group Limited,ngtld-abuse@cscinfo.com,,,,TRUE,2025-07-17
.afl,http://www.afl.com.au,Australian Football League,ngtld-abuse@cscinfo.com,,,,TRUE,2025-07-17
.auspost,http://www.auspost.com.au,Australian Postal Corporation,ngtld-abuse@cscinfo.com,,,,TRUE,2025-07-17
.lamborghini,http://www.lamborghini.com,Automobili Lamborghini S.p.A.,hostmaster@lamborghinionline.com,,,,TRUE,2025-07-17
.aws,http://www.nic.aws,AWS Registry LLC,registry-abuse@amazon.com,,,,TRUE,2025-07-17
.axa,http://www.axa.com/,AXA SA,domainsGIE-AXA@axa.com,,,,TRUE,2025-07-17
.baidu,http://www.baidu.com,"Baidu, Inc.",,,,Unable to locate,FALSE,2025-07-17
.bradesco,http://www.bradesco.com.br,Banco Bradesco S.A.,be.dominios@bradesco.com.br,,,,TRUE,2025-07-17
.bofa,http://nic.bofa,Bank of America Corporation,ngtld-abuse@cscinfo.com,,,,TRUE,2025-07-17
.pictet,http://www.pictet.com,Banque Pictet & Cie SA,ngtld-pictet@cscglobal.com,,,,TRUE,2025-07-17
.barclaycard,http://www.nic.barclaycard,Barclays Bank PLC,,,,Unable to locate,FALSE,2025-07-17
.barclays,http://www.nic.barclays,Barclays Bank PLC,,,,Unable to locate,FALSE,2025-07-17
.bmw,http://nic.bmw.com,Bayerische Motoren Werke Aktiengesellschaft,domains@bmw.de,,,,TRUE,2025-07-17
.mini,http://nic.mini.com,Bayerische Motoren Werke Aktiengesellschaft,domains@bmw.de,,,,TRUE,2025-07-17
.bayern,https://nic.bayern/,Bayern Connect GmbH,,,,Unable to locate,FALSE,2025-07-17
.bbt,http://nic.bbt,BB&T Corporation,ngtld-abuse@cscinfo.com,,,,TRUE,2025-07-17
.bbva,http://www.bbva.com,BBVA,,,,Unable to locate,FALSE,2025-07-17
.bestbuy,http://www.nic.bestbuy,"BBY Solutions, Inc.","bestbuyregistry@fairwindspartners.com
dotbestbuy-notices@markmonitor.com",,,"The text shows Markmonitor, but the link is Fairwinds Partners.",TRUE,2025-07-17
.beats,http://www.beatsbydre.com,"Beats Electronics, LLC",,,,Unable to locate,FALSE,2025-07-17
.anquan,http://www.360.cn,"Beijing Qihu Keji Co., Ltd.",,,,Unable to locate,FALSE,2025-07-17
.shouji,http://www.360.cn,"Beijing Qihu Keji Co., Ltd.",,,,Unable to locate,FALSE,2025-07-17
.xihuan,http://www.360.cn,"Beijing Qihu Keji Co., Ltd.",,,,Unable to locate,FALSE,2025-07-17
.yun,http://www.360.cn,"Beijing Qihu Keji Co., Ltd.",,,,Unable to locate,FALSE,2025-07-17
xn--kput3i,http://www.nic.xn--kput3i,"Beijing RITT-Net Technology Development Co., Ltd",,,,Unable to locate,FALSE,2025-07-17
xn--vuq861b,http://www.tele-info.cn,"Beijing Tele-info Network Technology Co., Ltd.",,,,Unable to locate,FALSE,2025-07-17
xn--3ds443g,http://www.internetregistry.info,Beijing TLD Registry Technology Limited,abuse@internetregistry.info,https://internetregistry.info/about-us/contact-us/,,,TRUE,2025-07-17
.best,https://www.go.best,BestTLD Pty Ltd,legal@the.best,https://contact.best/,,,TRUE,2025-07-17
.airtel,http://www.airtel.in,Bharti Airtel Limited,,,,Unable to locate,FALSE,2025-07-17
.bharti,http://www.bharti.com,Bharti Enterprises (Holding) Private Limited,,,,Unable to locate,FALSE,2025-07-17
.eco,https://bigroom.eco,Big Room Inc.,compliance@bigroom.eco,,,,TRUE,2025-07-17
.academy,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.accountants,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.agency,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.apartments,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.associates,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.bargains,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.bike,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.bingo,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.boutique,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.builders,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.business,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.cab,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.cafe,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.camera,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.camp,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.capital,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.cards,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.care,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.careers,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.cash,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.casino,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.catering,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.center,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.chat,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.cheap,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.church,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.city,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.claims,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.cleaning,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.clinic,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.clothing,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.coach,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.codes,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.coffee,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.community,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.company,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.computer,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.condos,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.construction,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.contractors,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.cool,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.coupons,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.credit,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.creditcard,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.cruises,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.dating,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.deals,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.delivery,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.dental,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.diamonds,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.digital,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.direct,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.directory,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.discount,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.doctor,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.dog,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.domains,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.education,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.email,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.energy,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.engineering,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.enterprises,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.equipment,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.estate,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.events,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.exchange,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.expert,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.exposed,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.express,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
.fail,identity.digital,"Binky Moon, LLC",abuse@identity.digital,https://www.identity.digital/policies/report-abuse,"Yes, through CleanDNS at www.cleandns.com",,TRUE,2025-07-17
